i,N,boot,peaks_splithalf,peaks_spearmanbrown,jsd
9,12500,9,0.5767786278481553,0.7315911284709515,2.690053923227948e-4
9,13000,9,0.5356811284320205,0.69764629976142,2.9215318854886095e-4
9,13500,9,0.5482820344197203,0.708245684224077,3.444293781711318e-4
9,14000,9,0.45980826168178496,0.6299570618295567,3.44130091511981e-4
9,14500,9,0.35240004319106394,0.5211476367000939,4.2457510624147564e-4
9,15000,9,0.49538178139342853,0.6625489056471201,3.436357347262059e-4
10,500,10,0.017215726939279273,0.03384872349758103,0.01121827297570307
10,1000,10,-0.17215037325245133,-0.4158976888805152,0.006327102609933258
10,1500,10,0.19073470546635618,0.3203647371505043,0.0029720689570011454
10,2000,10,0.20282675582710424,0.3372501565075907,0.0032806444554487144
10,2500,10,0.35516084718672025,0.5241604314705892,0.0020096909361121225
10,3000,10,0.06660075576479695,0.12488413383326631,0.0018438459701761822
10,3500,10,0.11648403258705621,0.20866224538320666,0.0014972811235752915
10,4000,10,-0.030315308113528852,-0.06252611465805859,0.0011652060190150406
10,4500,10,0.08273810913693094,0.15283124965996236,0.0011536754624748126
10,5000,10,0.07248469031333055,0.1351715152076509,0.0012030969485047924
10,5500,10,0.07783939475280859,0.1444359802244197,0.0011644998090302354
10,6000,10,0.4675563913788197,0.6371903582383426,5.651169922351389e-4
10,6500,10,0.400420127521824,0.571857144370533,8.816364053069435e-4
10,7000,10,0.3253632124749528,0.49097969433960226,5.307410853203964e-4
10,7500,10,0.4457618544323001,0.6166463073648255,4.24260731991287e-4
10,8000,10,0.43363008437028716,0.6049399898869399,5.075080703623115e-4
10,8500,10,0.545761103351638,0.7061390044920612,4.0332071182553936e-4
10,9000,10,0.5109944006552838,0.6763683577300845,3.6459513445919617e-4
10,9500,10,0.4741843541689898,0.643317578060027,5.318350969767257e-4
10,10000,10,0.17025505692863355,0.29097085446564547,9.043570188726842e-4
10,10500,10,0.5803450328869986,0.7344535791994934,3.4892216244855525e-4
10,11000,10,0.5027878019917978,0.6691401158904828,3.473116335427338e-4
10,11500,10,0.34901544723377914,0.5174372879857707,6.523334306383567e-4
10,12000,10,0.38746248768005087,0.5585195868292185,3.8126521557398064e-4
10,12500,10,0.5131867266216261,0.6782860536549618,2.8581431528725384e-4
10,13000,10,0.37248611614214155,0.5427903594233008,3.728968690812182e-4
10,13500,10,0.6846258455057161,0.8127927602822631,2.518906591580971e-4
10,14000,10,0.529228126779098,0.6921506575919091,4.674377164211155e-4
10,14500,10,0.5589928868826305,0.717120509767553,3.083630355884395e-4
10,15000,10,0.637004944555637,0.7782565919231861,4.4348699875605555e-4
